S-1	S-10	S-11	S-12	S-17	S-18	S-19	S-2	S-20	S-21	S-22	S-23	S-24	S-25	S-26	S-27	S-28	S-29	S-3	S-30	S-31	S-32	S-33	S-34	S-35	S-36	S-37	S-38	S-39	S-4	S-40	S-5	S-6	S-7	S-8	S-9	taxonomy
39	3571	0	0	1	0	0	130	2186	0	37	145	3258	1973	289	784	1	13	349	0	96	0	126	0	530	1264	2	0	2	25	0	32	62	0	129	113	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurovaceae; Sulfurovum
65	2	1	0	2	6	0	2	0	7	0	0	0	0	0	7	32	0	2867	0	3	0	1	0	0	3	0	0	1	492	0	15	1	63	57	10	Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
2	2	0	0	0	2	0	3	4	4	42	2	1	2	0	2	1	81	0	1	10	3	2	14	1	6	1743	6	7	35	751	1	2	11	2	0	Firmicutes; Bacilli; Bacillales; Bacillaceae
1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1271	0	49	0	0	75	0	4	0	0	0	0	0	30	0	4	0	55	3	1	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Tenacibaculum
0	2	1	0	0	2	0	1	1	0	3	2	3	0	1	0	0	79	0	1	5	0	2	1	0	4	20	5	3	0	1232	2	3	5	4	0	Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
30	443	0	0	1	0	0	55	768	2	4	113	1198	862	67	202	4	15	43	0	6	0	80	0	321	1093	4	0	1	11	0	16	66	1	6	87	Proteobacteria; Gammaproteobacteria
0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	17	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	10	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1004	0	10	3	0	0	0	0	0	1	0	0	1	18	0	0	0	0	0	Actinobacteriota; Actinobacteria; Frankiales; Geodermatophilaceae; Blastococcus
0	0	4	1	2	9	0	0	2	9	76	0	1	0	0	0	0	0	3	1	76	0	0	8	0	0	923	3	0	0	1	0	0	0	0	0	Proteobacteria; Alphaproteobacteria
145	38	3	0	42	34	63	53	43	0	59	865	110	32	148	72	9	20	3	0	2	1	105	1	0	1	0	0	33	53	1	82	271	11	4	481	Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
4	710	0	0	0	0	0	11	9	0	7	25	2	10	65	20	0	1	74	0	11	0	0	0	0	0	0	0	0	1	0	3	12	0	0	60	Bacteroidota; Bacteroidia; Bacteroidales; Prolixibacteraceae; Draconibacterium
4	389	0	0	0	0	0	87	707	1	1	10	241	339	5	153	1	2	59	0	0	1	9	0	29	68	2	0	0	2	0	0	0	1	3	8	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurovaceae; Sulfurovum
83	0	1	0	706	379	57	3	1	2	505	1	2	0	0	0	11	0	0	0	3	6	0	5	0	0	0	0	95	269	2	5	6	417	7	0	Desulfobacterota; Desulfuromonadia
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	703	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	659	0	10	0	0	0	0	0	Firmicutes; Bacilli; Thermoactinomycetales; Thermoactinomycetaceae; Laceyella
2	2	0	0	0	0	0	0	0	0	9	29	8	2	3	3	0	5	0	0	4	5	585	0	127	1	0	0	60	0	3	7	20	0	0	10	Firmicutes; Bacilli; Bacillales; Bacillaceae; Pontibacillus
0	76	0	1	0	0	0	2	12	0	0	1	124	108	0	1	0	1	10	0	0	0	2	0	24	571	3	0	0	0	0	0	0	0	0	0	Campilobacterota; Campylobacteria; Campylobacterales
0	0	29	43	9	18	0	1	2	7	35	0	0	0	0	0	0	28	34	22	127	9	0	97	0	0	569	144	0	5	138	0	0	5	64	0	Actinobacteriota
0	2	1	0	0	0	2	0	10	0	2	4	0	3	1	2	1	4	1	1	4	1	149	3	92	0	1	3	561	1	24	2	2	0	1	3	Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	79	1	545	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Salinimicrobium
0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	538	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	7	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
0	11	0	0	0	0	8	0	12	0	1	527	77	11	189	11	0	7	1	1	0	1	301	2	5	10	1	0	5	0	1	1	0	0	0	269	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae
1	2	0	0	0	0	0	2	6	0	0	2	5	0	1	3	1	5	0	1	1	0	133	2	115	11	1	4	516	3	36	2	3	0	1	2	Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
9	0	443	494	10	138	0	7	0	2	10	0	0	0	0	0	0	0	2	7	42	0	0	3	0	0	137	4	0	17	0	0	0	0	15	0	Proteobacteria; Alphaproteobacteria
0	1	0	0	1	2	1	1	0	0	0	2	0	0	1	0	0	23	4	2	1	0	0	0	0	1	2	6	0	0	485	1	0	0	0	0	Firmicutes; Bacilli; Bacillales; Bacillaceae
46	4	0	0	2	4	79	1	12	0	53	40	6	5	9	33	25	1	1	0	4	26	29	3	15	2	0	0	111	22	0	247	477	50	3	26	Acidobacteriota; Thermoanaerobaculia; Thermoanaerobaculales; Thermoanaerobaculaceae; Subgroup 10
48	0	186	464	21	35	0	36	2	7	7	10	0	0	3	0	0	2	11	8	42	2	2	28	1	0	32	7	0	36	0	0	5	3	36	1	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Limibaculum
13	0	0	0	155	185	3	0	0	5	22	0	0	0	0	1	3	0	447	0	2	102	0	1	0	0	0	0	0	277	0	0	0	164	39	0	Acidobacteriota
3	239	1	1	0	0	0	1	444	0	2	66	108	126	94	172	3	7	26	0	9	0	66	16	114	79	4	0	3	5	0	3	30	2	9	37	Proteobacteria; Alphaproteobacteria; Kiloniellales
0	0	1	1	5	0	0	0	0	3	1	0	0	0	0	0	0	4	442	5	11	1	0	13	0	0	24	2	0	5	0	1	0	7	1	0	Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
9	275	0	0	0	0	0	5	436	0	0	57	405	278	41	126	0	4	38	1	1	0	48	0	161	211	1	0	1	1	1	1	14	0	1	53	Proteobacteria; Gammaproteobacteria; Steroidobacterales; Woeseiaceae; Woeseia
20	0	0	0	0	0	433	0	11	1	7	0	1	0	0	11	135	1	1	0	0	0	0	0	0	0	0	0	3	0	0	83	66	0	0	0	Acidobacteriota; Subgroup 21
1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	46	2	0	0	0	0	0	0	0	0	5	0	0	429	0	0	0	1	0	Firmicutes; Bacilli; Bacillales; Planococcaceae; Sporosarcina
0	0	0	0	0	0	0	0	3	25	0	0	0	0	1	0	0	3	8	7	424	0	0	10	0	0	146	5	0	3	8	0	0	2	20	0	Myxococcota; Myxococcia; Myxococcales; Myxococcaceae
0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	420	0	0	0	0	0	6	0	0	0	0	0	0	0	23	0	Cyanobacteria; Cyanobacteriia; Cyanobacteriales
4	0	420	0	5	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	Proteobacteria; Gammaproteobacteria; Oceanospirillales
0	82	0	0	0	0	0	3	67	0	0	1	262	411	1	11	0	0	1	0	0	0	0	0	4	61	0	0	1	0	1	0	0	0	8	0	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurovaceae; Sulfurovum
0	0	0	0	66	13	2	0	4	65	10	0	0	0	0	5	3	1	94	12	29	138	0	410	0	0	19	73	1	23	0	0	0	61	264	0	Proteobacteria; Alphaproteobacteria
0	14	0	0	0	0	0	0	29	0	0	4	168	409	5	5	0	0	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	Campilobacterota; Campylobacteria; Campylobacterales; Sulfurimonadaceae; Sulfurimonas
33	62	0	0	0	1	44	5	117	0	9	407	67	32	258	87	0	18	6	0	3	0	76	0	8	5	0	0	17	25	0	68	113	1	10	299	Desulfobacterota; Desulfobacteria; Desulfobacterales; Desulfosarcinaceae; Sva0081 sediment group
1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	407	0	0	0	3	0	1	7	0	0	160	8	2	15	2	22	2	3	Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio
18	0	2	0	47	1	0	8	0	8	9	0	0	1	0	4	0	0	6	0	10	406	0	39	1	0	1	0	0	18	1	0	1	3	44	0	Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae
0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	6	0	399	5	0	0	0	0	0	138	0	0	0	0	3	0	1	0	1	Bacteroidota; Bacteroidia; Cytophagales; Cyclobacteriaceae; Fulvivirga
0	135	1	0	0	0	0	4	202	0	0	37	291	219	12	41	0	5	14	0	2	0	18	0	80	395	1	0	0	0	0	0	5	0	0	18	Proteobacteria; Gammaproteobacteria
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	14	0	0	0	0	0	0	0	2	0	0	19	0	0	0	0	0	Actinobacteriota; Actinobacteria; Frankiales; Geodermatophilaceae; Blastococcus
3	0	0	0	17	6	126	0	4	43	74	0	1	0	0	6	74	0	385	0	2	98	0	48	1	0	1	0	3	54	0	125	18	179	16	0	Proteobacteria; Gammaproteobacteria; Oceanospirillalesitrincolaceae; Marinobacterium
21	0	305	384	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	Proteobacteria; Gammaproteobacteria
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	371	0	0	0	0	0	0	0	0	0	0	21	0	2	0	5	10	2	Proteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae; Pseudoalteromonas
